id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,0.08,1,324
28396,Modern Apt with Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,Private room,90,1,9,0.08,1,245
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,Entire home/apt,150,5,21,0.19,1,189
29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,Fernando And Lenin,Manhattan,Washington Heights,Private room,85,15,36,0.33,1,307
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,0.58,2,310
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,Entire home/apt,120,3,155,1.42,3,213
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,Private room,89,3,260,2.35,1,278
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,Manhattan,East Village,Entire home/apt,185,5,73,0.66,1,209
30031,NYC artists’ loft with roof deck,129352,Sol,Brooklyn,Greenpoint,Private room,50,3,193,1.86,1,0
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,Entire home/apt,105,3,32,0.29,1,16
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,Private room,130,2,50,0.45,3,234
31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,Entire home/apt,115,29,26,0.25,1,12
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,Flatlands,Private room,77,2,2,0.02,1,178
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,Private room,76,2,426,3.89,3,275
32023,FLAT MACDONOUGH,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2.09,2,163
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,Private room,135,4,84,0.77,3,365
32100,"Modern Greenpoint, Brooklyn Apt",138579,Ali+Scott,Brooklyn,Greenpoint,Entire home/apt,250,29,3,0.03,1,34
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,Brooklyn,Williamsburg,Entire home/apt,199,3,10,0.1,1,280
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,Entire home/apt,140,2,4,0.04,1,0
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,Private room,140,2,1,0.01,1,1
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,1.72,2,170
32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,Entire home/apt,160,3,11,0.11,1,188
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,Entire home/apt,195,4,240,2.19,1,214
33014,NYC Zen,143048,Paula,Manhattan,East Village,Entire home/apt,195,3,30,0.28,1,248
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,Private room,80,3,200,1.86,4,262
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,Private room,44,8,27,1.05,5,280
35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,Private room,156,4,79,0.74,1,307
36121,Lg Rm in Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,Private room,85,15,9,0.09,1,339
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,Private room,125,3,155,1.61,1,1
36442,Great location. Spacious on PROSPECT PARK,137432,Paz,Brooklyn,Prospect Heights,Entire home/apt,115,15,4,0.05,1,269
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,Private room,69,2,34,0.32,1,10
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,Entire home/apt,225,45,134,1.24,1,312
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,Entire home/apt,125,6,27,0.25,1,189
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Manhattan,Upper East Side,Entire home/apt,219,4,126,1.16,2,290
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,0.27,1,230
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,Entire home/apt,99,1,234,2.6,2,164
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,Private room,69,4,202,1.86,2,53
39593,"A room w/ a Manhattan view, longer stay",110506,Myung,Queens,Sunnyside,Private room,79,30,28,0.26,1,126
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2.86,2,3
40039,Luxurious Condo in DUBMO with View,171851,Henry,Brooklyn,DUMBO,Private room,250,3,14,0.13,1,189
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Sylvia,Manhattan,Upper East Side,Entire home/apt,250,3,4,0.08,1,365
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Syl,Brooklyn,Gowanus,Entire home/apt,250,2,80,2.17,1,0
41513,Convenient cozy cheap apt Manhattan,181167,Lorenzo,Manhattan,Harlem,Entire home/apt,80,3,2,0.04,1,0
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,Private room,70,2,294,3.47,3,336
42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,1.4,3,342
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,Private room,70,2,166,1.66,1,312
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,Private room,50,2,47,0.94,1,37
44096,Room with a View,190409,Waundell,Bronx,Highbridge,Private room,40,1,219,2.04,3,353
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,Entire home/apt,150,2,193,1.78,1,177
44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,Private room,125,1,84,0.78,4,310
44221,Financial District Luxury Loft,193722,Coral,Manhattan,Financial District,Entire home/apt,196,3,114,1.06,1,0
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,Private room,110,2,213,2,2,321
44288,Your own Lovely West Village Studio,193637,Sara,Manhattan,West Village,Entire home/apt,170,3,86,0.8,1,246
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,Entire home/apt,165,3,80,0.75,3,231
45393,Greenwich Village Stylish Apartment,201297,Myrna,Manhattan,West Village,Entire home/apt,150,26,38,0.36,1,225
45542,Clean and Cozy Harlem Apartment,202249,Campbell,Manhattan,Harlem,Entire home/apt,100,2,18,1.79,1,0
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,Doug,Brooklyn,Fort Greene,Private room,65,2,206,1.92,2,0
45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,Entire home/apt,350,8,10,0.11,5,365
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,Private room,99,4,122,1.18,2,233
45940,Bright Spacious Luxury Condo,204724,Miyoung,Brooklyn,Williamsburg,Entire home/apt,200,4,33,0.58,1,1
46544,Park Slope haven 15 mins from Soho,8198,Monica,Brooklyn,Park Slope,Entire home/apt,150,5,52,0.5,1,18
46723,SAFE  AND BEAUTIFUL ACCOMODATION,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,1.17,4,343
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,120,3,51,0.48,3,250
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",212722,Teresa,Manhattan,Upper East Side,Private room,75,3,199,1.85,1,326
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",214148,Robert,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,0.29,1,364
47370,Chelsea Studio sublet 1 - 2 months,214287,Alex,Manhattan,Chelsea,Entire home/apt,125,3,3,0.03,1,0
47926,LUX APT IN TIMES SQUARE NEW BUILDING,218404,Claudia,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,0.38,1,299
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Shane,Manhattan,Lower East Side,Entire home/apt,299,2,109,1.04,1,207
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,9744,Laurie,Brooklyn,South Slope,Entire home/apt,135,5,151,1.43,3,162
51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,Jessica,Manhattan,Upper East Side,Private room,130,14,0,,2,0
51485,Lower East Side $57~/night,236655,Erina,Manhattan,Lower East Side,Private room,83,1,285,2.69,1,7
51572,Prime Location in Manhattan,237329,Lee,Manhattan,Chelsea,Private room,123,1,375,3.52,1,328
51850,( F) Excellent/Pvt Rm,27848,Jullett,Queens,Jamaica,Private room,55,2,52,0.49,2,365
53137,"Quiet, sunny Midtown Manhattan apt.",240360,Marlaine,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,1.01,1,0
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,0.48,1,0
53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,Entire home/apt,98,30,33,0.31,5,240
53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,Private room,140,7,6,0.06,5,365
53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,Entire home/apt,265,7,38,0.38,5,365
54158,The Institute—Heart of Williamsburg,10889,Bob,Brooklyn,Williamsburg,Entire home/apt,249,2,358,3.44,2,164
54453,MIDTOWN WEST - Large alcove studio,255583,Anka,Manhattan,Hell's Kitchen,Shared room,105,6,10,0.09,1,363
54466,Beautiful Uptown Manhattan apartmnt,253385,Douglas,Manhattan,Harlem,Private room,200,30,0,,1,365
54508,Sml Rm in pr Brst  Park Sl great for Med/students,210746,Kathleen R.,Brooklyn,Prospect Heights,Private room,100,2,226,2.12,3,250
54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,Entire home/apt,121,1,104,1,5,247
54626,Cozy bedroom by Yankee Stadium,190409,Waundell,Bronx,Highbridge,Private room,45,1,138,1.45,3,323
54860,Great apartment with private bathroom and entrance,258164,Jenny,Manhattan,East Harlem,Private room,100,5,204,1.92,1,192
55467,Private Garden Apt • New Renovation,260709,Paul,Brooklyn,Williamsburg,Entire home/apt,140,2,253,3.04,1,125
55498,Modern comfort in art infused landmark Brownstone,262138,Tami,Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,0.22,1,91
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",88209,Jason,Manhattan,NoHo,Private room,130,2,115,1.17,1,75
55737,Sleek & Comfortable Soho Apt,263414,Pete,Manhattan,West Village,Entire home/apt,199,5,129,1.22,1,286
55959,Spacious Williamsburg Share w/ LOFT BED,168525,Gus,Brooklyn,Williamsburg,Private room,69,4,82,1.13,2,60
55982,Cozy 2 br in sunny Fort Greene apt,264928,Sally,Brooklyn,Fort Greene,Private room,68,3,37,0.35,1,0
56467,Cozy East Village Railroad 1 Bed!,267593,Leonardo,Manhattan,East Village,Entire home/apt,130,1,204,2.04,1,192
56525,1 Bedroom Loft w/ Private Roof Deck,268014,Alex,Brooklyn,Greenpoint,Entire home/apt,195,2,69,0.65,1,58
56859,City Room - Private & Comfy Bedroom,256161,Wayne,Manhattan,Harlem,Private room,64,1,192,1.84,5,245
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,Entire home/apt,140,2,17,0.16,1,292
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",199392,S.M.,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,2.12,1,279
57468,"Modern, Large East Village Loft",239208,Ori,Manhattan,East Village,Entire home/apt,189,3,205,1.96,1,0
57618,"Great new apt, close to everything",274557,Ana,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,0.96,1,3
57740,Quiet & Clean Retreat in the City,275459,I,Manhattan,East Village,Entire home/apt,239,3,7,0.07,1,351
57754,Stylish Large Gramercy Loft!,275578,R,Manhattan,Flatiron District,Entire home/apt,305,2,108,1.09,1,201
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,Harlem,Entire home/apt,155,3,222,2.1,2,232
58059,PRIVATE Room on Historic Sugar Hill,277379,Agnes,Manhattan,Harlem,Private room,60,1,458,4.58,2,258
58062,South Slope Green,277394,Linda,Brooklyn,Windsor Terrace,Private room,135,2,21,0.26,1,272
58467,"17 Flr. Manhattan Views, Nr. Subway",279797,Dave,Manhattan,Roosevelt Island,Private room,120,7,17,0.3,1,341
59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,Entire home/apt,150,3,41,0.39,1,244
59121,"Nice, clean, safe, convenient 3BR",204539,Mark,Queens,Ridgewood,Entire home/apt,140,14,1,0.01,5,365
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,274782,Betty,Brooklyn,Greenpoint,Entire home/apt,135,2,69,0.67,1,12
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",186084,Ricardo & Ashlie,Manhattan,Chinatown,Entire home/apt,250,4,18,0.18,2,265
59855,One bedroom Apt. in NYC,288031,Leslie,Manhattan,Midtown,Entire home/apt,250,30,82,0.78,1,0
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,Manhattan,SoHo,Entire home/apt,500,4,94,0.99,1,329
60457,Spacious Greenwich Village Apt,99212,Jessica,Manhattan,Greenwich Village,Entire home/apt,225,5,10,0.1,1,91
60611,SpaHa Studio Monthly Rental,292204,Blanca,Manhattan,East Harlem,Entire home/apt,125,28,183,1.83,2,365
60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,Private room,92,1,189,1.82,5,253
60673,Private Room/bath Luxurious Harlem,249372,Cynthia,Manhattan,Harlem,Private room,175,2,1,0.11,1,365
60680,The gem of the East Village,292630,Mich,Manhattan,East Village,Entire home/apt,99,2,127,1.22,1,320
60794,"Bright and spacious, garden below!",293394,Rachel,Manhattan,Upper West Side,Entire home/apt,195,4,4,0.04,1,0
60948,ACCOMMODATIONS GALORE #2,126607,Laurine,Manhattan,East Harlem,Entire home/apt,140,3,135,1.3,3,192
61167,Colorful Private One Bedroom Apt,295760,Greta,Manhattan,Little Italy,Entire home/apt,135,2,21,0.2,1,0
61224,Huge Chelsea Loft,291112,Frank,Manhattan,Chelsea,Entire home/apt,500,2,35,0.34,1,348
61406,Great room in great location,297176,Bethania,Manhattan,Harlem,Private room,80,14,10,2.21,2,0
61492,Exclusive Room with Private Bath in  LES,297769,Tunji,Manhattan,Chinatown,Private room,120,4,171,1.8,2,353
61509,"Quiet, clean midtown apt w. elevato",23619,Anna/Fonzy,Manhattan,Midtown,Entire home/apt,110,200,92,0.9,1,140
62095,BK Sweet Suite w/Kitchen&FullBath,281764,Colette&Sean,Brooklyn,East Flatbush,Entire home/apt,65,3,238,2.3,1,2
62427,Great East Village Apartment Rental,303882,Brie,Manhattan,East Village,Entire home/apt,130,50,56,0.58,1,56
62430,BROWNSTONE SUNDRENCHED BEAUTY,197755,Sheila,Brooklyn,Bushwick,Entire home/apt,99,3,111,2.13,1,68
